request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 in full on 2026-04-06; the validated 90-date forecast preserves the IDR 20050300 minimum.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 in full on 2024-03-03; the validated 90-date forecast preserves the USD 800 minimum.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use 3 payments to complete IDR 20558000 by 2025-09-30 while preserving the IDR 12588500 minimum.
request_123,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 4076000 by 2026-03-28 while preserving the IDR 18091200 minimum.
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,Use 3 payments to complete EUR 3104.2 by 2024-08-12 while preserving the EUR 1600 minimum.
request_125,5088.51,not_affordable,not_recommended,none,2025-11-15,none,No eligible plan completes ZAR 6468 by 2025-11-14 while preserving the ZAR 11300 minimum.
request_126,26642.14,not_affordable,not_recommended,none,,none,No eligible plan completes INR 159600 by 2026-07-17 while preserving the INR 129700 minimum.
request_127,7933.25,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Wait until 2024-10-15 to pay ZAR 23980 in full while preserving the ZAR 41000 minimum.
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 in full on 2025-02-07; the validated 90-date forecast preserves the ZAR 42600 minimum.
request_129,110.47,not_affordable,not_recommended,none,,none,No eligible plan completes USD 2668.8 by 2026-06-18 while preserving the USD 800 minimum.
request_130,338.17,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,Wait until 2025-02-15 to pay USD 1978.8 in full while preserving the USD 1400 minimum.
request_131,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes USD 1855.2 by 2025-07-08 while preserving the USD 1100 minimum.
request_132,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes USD 379.86 by 2026-02-25 while preserving the USD 1100 minimum.
request_133,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 15770000 by 2024-03-29 while preserving the IDR 9986200 minimum.
request_134,4469014.82,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Wait until 2025-10-15 to pay IDR 21831000 in full while preserving the IDR 15902500 minimum.
request_135,273.59,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,reduce_to:event_12413:11.5|reduce_to:event_12458:17.5,Use permitted spending changes to complete USD 304.8 by 2026-07-06 while preserving the USD 500 minimum.
request_136,496.37,not_affordable,not_recommended,none,2024-06-15,none,No eligible plan completes USD 560.4 by 2024-06-14 while preserving the USD 1100 minimum.
request_137,24928.90,not_affordable,not_recommended,none,,none,No eligible plan completes INR 80100 by 2026-01-15 while preserving the INR 71800 minimum.
request_138,861.61,affordable_with_plan,partial_payment,2026-04-07:861.61|2026-04-15:395.33,2026-04-15,none,Use two payments to complete EUR 1256.94 by 2026-04-15 while preserving the EUR 2300 minimum.
request_139,1347.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,Use 3 payments to complete USD 2316 by 2024-11-08 while preserving the USD 1500 minimum.
request_140,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 62832 by 2025-03-04 while preserving the ZAR 21600 minimum.
request_141,17674.24,not_affordable,not_recommended,none,,none,No eligible plan completes INR 171600 by 2026-02-12 while preserving the INR 67300 minimum.
request_142,817.81,not_affordable,not_recommended,none,,none,No eligible plan completes USD 1263.6 by 2025-02-04 while preserving the USD 1700 minimum.
request_143,2179.72,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Wait until 2025-07-15 to pay ZAR 12584 in full while preserving the ZAR 11300 minimum.
request_144,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes USD 233.34 by 2026-07-26 while preserving the USD 600 minimum.
request_145,24072.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13341:2920|reduce_to:event_13409:3335|stop:event_13342,Use 3 payments to complete INR 217400 by 2024-05-21 while preserving the INR 155400 minimum.
request_146,11279.92,not_affordable,not_recommended,none,,none,No eligible plan completes INR 449400 by 2025-10-17 while preserving the INR 108600 minimum.
request_147,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1129.7 by 2026-06-07 while preserving the EUR 900 minimum.
request_148,7665.48,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13591,Use 3 payments to complete ZAR 22242 by 2024-08-15 while preserving the ZAR 20000 minimum.
request_149,24545.82,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,Use 3 payments to complete ZAR 36652 by 2026-01-13 while preserving the ZAR 42100 minimum.
request_150,225.79,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:16|stop:event_13785|stop:event_13786,Use 3 payments to complete EUR 496.1 by 2026-03-07 while preserving the EUR 700 minimum.
request_151,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 26999000 by 2024-09-14 while preserving the IDR 31633600 minimum.
request_152,11035.96,not_affordable,not_recommended,none,2025-04-15,none,No eligible plan completes ZAR 13882 by 2025-04-13 while preserving the ZAR 11900 minimum.
request_153,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes USD 2830.8 by 2026-09-24 while preserving the USD 1400 minimum.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use 3 payments to complete EUR 1625.8 by 2025-02-04 while preserving the EUR 1300 minimum.
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 in full on 2025-05-06; the validated 90-date forecast preserves the INR 56300 minimum.
request_156,6781.13,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Wait until 2026-06-15 to pay ZAR 43076 in full while preserving the ZAR 26900 minimum.
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Wait until 2024-05-15 to pay IDR 23503000 in full while preserving the IDR 15714100 minimum.
request_158,203738.63,not_affordable,not_recommended,none,,none,No eligible plan completes INR 242600 by 2025-10-02 while preserving the INR 131400 minimum.
request_159,256.83,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 13398 by 2026-03-20 while preserving the ZAR 8700 minimum.
request_160,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1246.3 by 2024-08-20 while preserving the EUR 1200 minimum.
request_161,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 21204000 by 2026-01-15 while preserving the IDR 23010400 minimum.
request_162,1159061.72,not_affordable,not_recommended,none,,none,No eligible plan completes IDR 83923000 by 2026-08-26 while preserving the IDR 24161100 minimum.
request_163,7437163.24,not_affordable,not_recommended,none,2024-11-15,none,No eligible plan completes IDR 19304000 by 2024-11-15 while preserving the IDR 26728700 minimum.
request_164,27018000.00,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use 3 payments to complete IDR 27018000 by 2025-04-08 while preserving the IDR 29550500 minimum.
request_165,79004.86,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:event_15135:1665,Use permitted spending changes to complete INR 80600 by 2026-04-06 while preserving the INR 95000 minimum.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use 3 payments to complete USD 2907.6 by 2025-02-03 while preserving the USD 1700 minimum.
request_167,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 43802 by 2025-05-31 while preserving the ZAR 31200 minimum.
request_168,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 49380 by 2026-03-16 while preserving the INR 114400 minimum.
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 in full on 2024-03-04; the validated 90-date forecast preserves the ZAR 18700 minimum.
request_170,30183194.40,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,stop:event_15604,Use 3 payments to complete IDR 36936000 by 2025-10-01 while preserving the IDR 24715800 minimum.
request_171,30.56,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1878.8 by 2026-09-10 while preserving the EUR 500 minimum.
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.32,2024-06-15,none,Use two payments to complete ZAR 10200 by 2024-06-15 while preserving the ZAR 27200 minimum.
request_173,52640.85,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15946:2105,Use 3 payments to complete INR 113000 by 2026-01-16 while preserving the INR 79100 minimum.
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use 3 payments to complete EUR 1146.2 by 2026-06-03 while preserving the EUR 700 minimum.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 in full on 2024-09-06; the validated 90-date forecast preserves the EUR 1700 minimum.
request_176,350.63,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1239.7 by 2025-02-27 while preserving the EUR 600 minimum.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 in full on 2026-01-05; the validated 90-date forecast preserves the USD 1300 minimum.
request_178,2568.98,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 2938.1 by 2025-02-12 while preserving the EUR 1400 minimum.
request_179,5664043.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Wait until 2025-07-15 to pay IDR 41648000 in full while preserving the IDR 41430800 minimum.
request_180,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 66500 by 2026-09-02 while preserving the INR 37300 minimum.
request_181,171.98,not_affordable,not_recommended,none,,none,No eligible plan completes USD 5059.2 by 2024-04-07 while preserving the USD 2000 minimum.
request_182,65714.00,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 in full on 2025-08-05; the validated 90-date forecast preserves the ZAR 31100 minimum.
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,Use 3 payments to complete IDR 26866000 by 2026-06-09 while preserving the IDR 11878300 minimum.
request_184,9316.10,not_affordable,not_recommended,none,,none,No eligible plan completes INR 251900 by 2024-07-30 while preserving the INR 110800 minimum.
request_185,318.41,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,Wait until 2026-01-15 to pay EUR 1257.3 in full while preserving the EUR 1300 minimum.
request_186,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes ZAR 26554 by 2026-03-15 while preserving the ZAR 22000 minimum.
request_187,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes INR 187500 by 2024-11-15 while preserving the INR 128300 minimum.
request_188,0.00,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 2464 by 2025-03-04 while preserving the EUR 900 minimum.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 in full on 2026-07-04; the validated 90-date forecast preserves the EUR 400 minimum.
request_190,528.67,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 2557.5 by 2025-02-15 while preserving the EUR 1600 minimum.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 in full on 2025-05-03; the validated 90-date forecast preserves the EUR 500 minimum.
request_192,113.88,not_affordable,not_recommended,none,,none,No eligible plan completes USD 2046 by 2026-05-11 while preserving the USD 1000 minimum.
request_193,23.01,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,Use 3 payments to complete EUR 1212.2 by 2024-05-22 while preserving the EUR 1000 minimum.
request_194,34703.75,affordable_later,wait,2025-10-23:132800,2025-10-23,none,Wait until 2025-10-23 to pay INR 132800 in full while preserving the INR 113600 minimum.
request_195,47.98,not_affordable,not_recommended,none,,none,No eligible plan completes EUR 1170.4 by 2026-03-11 while preserving the EUR 700 minimum.
